"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"11","310.17967135603783","102.5422477111425","0.010498046875","0.01220703125","0.0087890625","2280","0.0003450406765445167","32","0.0003450406765445167","0","0.0003450406765445167","0.0003450406765445167","18:0.0019293301644598693;10:0.0013103181675707953;12:0.001469734777428816","18:68;10:68;12:68","18:0.002074708024166344;10:0.0015461901435774028;12:0.0016024361670800569","0.010498046875","0.02783203125","Yes"
"12","256.13467043140355","214.41907966998218","0.0302734375","0.0390625","0.021484375","2280","0.000216563302989346","32","0.000216563302989346","0","0.000216563302989346","0.000216563302989346","13:0.002243846016884654;11:0.001469734777428816","13:68;11:68","13:0.002018853035861412;11:0.0016024361670800569","0.0302734375","0.0322265625","Yes"
"13","203.01338830611573","206.29620424583274","0.0078125","0.010498046875","0.005126953125","2280","0.00025811212311977936","32","0.00025811212311977936","0","0.00025811212311977936","0.00025811212311977936","12:0.002243846016884654;14:0.001040914177438984","12:68;14:68","12:0.002018853035861412;14:0.0014307112964946633","0.0078125","0.00732421875","Yes"
"14","288.01956482517886","411.5679551186586","0.0264892578125","0.02783203125","0.025146484375","2280","0.00022090967732485688","32","0.00022090967732485688","0","0.00022090967732485688","0.00022090967732485688","15:0.0022418765694540155;13:0.001040914177438984","15:68;13:68","15:0.003712481756832031;13:0.0014307112964946633","0.0264892578125","0.01318359375","Yes"
"15","313.48415675637773","378.41176081873755","0.012451171875","0.009765625","0.01513671875","2280","0.00012544048246175617","32","0.00012544048246175617","0","0.00012544048246175617","0.00012544048246175617","14:0.0022418765694540155;19:0.0015761095151133608","14:68;19:68","14:0.003712481756832031;19:0.0021420902036977385","0.012451171875","0.03759765625","Yes"
"16","347.9941867631965","448.23037199916206","0.0506591796875","0.0517578125","0.049560546875","2280","0.00018366815202252784","32","0.00018366815202252784","0","0.00018366815202252784","0.00018366815202252784","23:0.0014929570129988134;3:0.0021091656103053302","23:68;3:68","23:0.0011517137500617336;3:0.0019891400058113518","0.0506591796875","0.0400390625","Yes"
"17","295.5731921317807","109.4899642811111","0.0050048828125","0.007568359375","0.00244140625","2280","0.00038491264898169456","32","0.00038491264898169456","0","0.00038491264898169456","0.00038491264898169456","7:0.007083703865143509;27:0.0013882712954585152","7:68;27:68","7:0.003866437763220737;27:0.0014829182607548341","0.0050048828125","0.00634765625","Yes"
"18","125.94486950634452","101.0505531965644","0.0150146484375","0.0166015625","0.013427734375","2280","0.00047977228569365775","32","0.00047977228569365775","0","0.00047977228569365775","0.00047977228569365775","11:0.0019293301644598693;31:0.0020781139827430184","11:68;31:68","11:0.002074708024166344;31:0.0019433911623622235","0.0150146484375","0.069091796875","Yes"
"19","302.0004090659181","209.24072703585927","0.01171875","0.013427734375","0.010009765625","2280","0.00036307114858110843","32","0.00036307114858110843","0","0.00036307114858110843","0.00036307114858110843","35:0.0007384083756949988;15:0.0015761095151133608","35:68;15:68","35:0.000921088180781432;15:0.0021420902036977385","0.01171875","0.007080078125","Yes"
"20","158.92587482114746","24.212457097737175","0.0054931640625","0.00732421875","0.003662109375","2280","0.0003944909529210859","32","0.0003944909529210859","0","0.0003944909529210859","0.0003944909529210859","21:0.0025918269911262837","21:68","21:0.0021143152523478703","0.0054931640625","0.006591796875","Yes"
