"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"35","372.19387561563497","491.6426358462885","0.0157470703125","0.022705078125","0.0087890625","2584","0.00011032207827754325","36","0.00011032207827754325","0","0.00011032207827754325","0.00011032207827754325","19:0.0017864751418406322;34:0.0018661960139329525","19:80;34:68","19:0.0017218872413776176;34:0.002026610219434566","0.0157470703125","Yes"
"36","100.66485561789563","67.27380997322432","0.020263671875","0.035888671875","0.004638671875","2584","0.002232802906261832","36","0.002232802906261832","0","0.002232802906261832","0.002232802906261832","41:0.011439465428613016;21:0.0072720987631027245","41:68;21:68","41:0.010790444622273576;21:0.0016226266882329587","0.020263671875","Yes"
"37","142.9465849702842","14.55656138666231","0.0472412109375","0.025390625","0.069091796875","2584","0.00045391986094848547","36","0.00045391986094848547","0","0.00045391986094848547","0.00045391986094848547","45:0.004737690626057334;25:0.004398860249271469","45:68;25:68","45:0.004347469744903409;25:0.0042330823956456265","0.0472412109375","Yes"
"38","103.4184077442233","74.83318741326487","0.0181884765625","0.01806640625","0.018310546875","2584","0.0004291286344017502","36","0.0004291286344017502","0","0.0004291286344017502","0.0004291286344017502","29:0.0025230270039848235;49:0.002337968627272896","29:68;49:68","29:0.0029888180144711507;49:0.002744541286801405","0.0181884765625","Yes"
"39","143.69449396556243","137.34958324514636","0.037109375","0.04833984375","0.02587890625","2584","0.0003329517850217156","36","0.0003329517850217156","0","0.0003329517850217156","0.0003329517850217156","53:0.0020062809912054225;33:0.002073624109953126","53:68;33:68","53:0.0022953916833595434","0.037109375","Yes"
"40","169.96609328267417","86.24896307735187","0.0126953125","0.014892578125","0.010498046875","2584","0.00017798019273045776","36","0.00017798019273045776","0","0.00017798019273045776","0.00017798019273045776","41:0.1514802416276438","41:68","41:0.11913391813289279","0.0126953125","Yes"
"41","86.11307019036342","27.301589128272283","0.0179443359375","0.02587890625","0.010009765625","2584","0.0016401840596341041","36","0.0016401840596341041","0","0.0016401840596341041","0.0016401840596341041","40:0.1514802416276438;42:0.008377642908763833;36:0.011439465428613016","40:68;42:68;36:68","40:0.11913391813289279;42:0.009480151738230885;36:0.010790444622273576","0.0179443359375","Yes"
"42","223.5499710068258","80.44595896859046","0.010009765625","0.011962890625","0.008056640625","2584","0.00035398556244112554","36","0.00035398556244112554","0","0.00035398556244112554","0.00035398556244112554","41:0.008377642908763833;43:0.0060502954015210775","41:68;43:68","41:0.009480151738230885;43:0.003051971951775867","0.010009765625","Yes"
"43","261.91254227870513","68.49067519754094","0.015869140625","0.01806640625","0.013671875","2584","0.0003285007246120494","36","0.0003285007246120494","0","0.0003285007246120494","0.0003285007246120494","42:0.0060502954015210775;56:0.0017717361951803956;44:0.0017545155386606281","42:68;56:68;44:68","42:0.003051971951775867;56:0.0027940467923933954;44:0.002553117448191561","0.015869140625","Yes"
"44","243.92913569526237","216.1155550188718","0.0120849609375","0.013671875","0.010009765625","2584","0.0004472279814801323","36","0.0004472279814801323","0","0.0004472279814801323","0.0004472279814801323","45:0.003047469533271424;43:0.0017545155386606281","45:68;43:68","45:0.002708364746181996;43:0.002553117448191561","0.0120849609375","Yes"
