"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"22","137.28957266767287","118.72378914485145","0.004150390625","0.00439453125","0.00390625","1560","0.00015809966143825023","24","0.00015809966143825023","0","0.00015809966143825023","0.00015809966143825023","23:68;21:68","23:0.002361405724584459;21:0.00275009245441149","23:0.012817293993588275;21:0.01331968164802097","0.004150390625","Yes"
"23","187.2294224018164","160.23146716060717","0.003173828125","0.00390625","0.00244140625","1560","0.00019759109206611268","24","0.00019759109206611268","0","0.00019759109206611268","0.00019759109206611268","22:68;24:68;16:68","22:0.002361405724584459;24:0.01188315190692027;16:0.006779012520276295","22:0.012817293993588275;24:0.007523731480770596;16:0.00898190090943507","0.003173828125","Yes"
"24","142.54701271941929","127.31924981697408","0.008544921875","0.0107421875","0.00634765625","1560","0.0014120917041088065","24","0.0014120917041088065","0","0.0014120917041088065","0.0014120917041088065","23:68;25:68","23:0.01188315190692027;25:0.03565904674361589","23:0.007523731480770596;25:0.02022598935579814","0.008544921875","Yes"
"25","172.61272248186432","110.4992806375044","0.016357421875","0.015625","0.01708984375","1560","0.00016114443732051764","24","0.00016114443732051764","0","0.00016114443732051764","0.00016114443732051764","24:68;26:68;37:68","24:0.03565904674361589;26:0.002443119726704468;37:0.0017885722269009863","24:0.02022598935579814;26:0.0018173322086832422;37:0.0014461830989943303","0.016357421875","Yes"
"26","215.70578161031125","115.04727737396124","0.01123046875","0.0087890625","0.013671875","1560","0.00033386905479719856","24","0.00033386905479719856","0","0.00033386905479719856","0.00033386905479719856","25:68;27:68","25:0.002443119726704468;27:0.024736103838082613","25:0.0018173322086832422;27:0.0342776050097956","0.01123046875","Yes"
"27","100.44000316318413","105.57284871456463","0.009521484375","0.015625","0.00341796875","1560","0.004818962651901674","24","0.004818962651901674","0","0.004818962651901674","0.004818962651901674","26:68;28:68;17:68","26:0.024736103838082613;17:0.02911399074663984","26:0.0342776050097956","0.009521484375","Yes"
"28","140.8409857971096","122.54867058923108","0.00732421875","0.00927734375","0.00537109375","1560","0.00024137314659716854","24","0.00024137314659716854","0","0.00024137314659716854","0.00024137314659716854","27:68;29:68","29:0.003883396120665711","29:0.002906886871076514","0.00732421875","Yes"
"29","161.15414126248913","49.08771686660911","0.013916015625","0.01220703125","0.015625","1560","0.0001971671727809373","24","0.0001971671727809373","0","0.0001971671727809373","0.0001971671727809373","38:68;28:68;30:68","38:0.0021743364316175184;28:0.003883396120665711;30:0.002673098581719463","38:0.002524023530240588;28:0.002906886871076514;30:0.0027080857224631993","0.013916015625","Yes"
"30","175.81628301464713","125.33476027652455","0.007568359375","0.01123046875","0.00390625","1560","0.0003144406197093621","24","0.0003144406197093621","0","0.0003144406197093621","0.0003144406197093621","31:68;29:68","31:0.0028807520274662657;29:0.002673098581719463","31:0.002872881755371731;29:0.0027080857224631993","0.007568359375","Yes"
"31","122.29045584153585","47.2183331502149","0.017578125","0.0185546875","0.0166015625","1560","0.00034988110589326217","24","0.00034988110589326217","0","0.00034988110589326217","0.00034988110589326217","30:68;32:68;18:68","30:0.0028807520274662657;32:0.03848486742230825;18:0.002780357140588996","30:0.002872881755371731;32:0.00796369736570654;18:0.003553200961574826","0.017578125","Yes"
